id,video_id,영상제목,영상URL,상태,대본제목,대본파일,노션URL,업로드기록파일,연결자료파일,대응근거
EPR-YT-001,vRICbmCEDmQ,요즘 리더들이 겪는다는 'AI 번아웃',https://www.youtube.com/watch?v=vRICbmCEDmQ,영상링크 일치,ai fomo - 대본1차,대본/32e84687-79ee-8018-8da3-cd4ee28977f0.md,https://app.notion.com/p/bootoesa/32e8468779ee80188da3cd4ee28977f0,대본/32e84687-79ee-80ae-a867-e81147fc6bb9.md,대본/32e84687-79ee-80d3-8b80-ff89a758cc99.md;대본/32e84687-79ee-8018-8da3-cd4ee28977f0.md,콘텐츠 관리 페이지의 유튜브 업로드 링크와 영상 ID 일치. 연결 작업에서 대본 본문 확보.
EPR-YT-002,7AezVYMZ4sg,회사 인스타 계정 이렇게 운영하세요,https://www.youtube.com/watch?v=7AezVYMZ4sg,영상링크 일치,보호필름분석 - 대본1차,대본/32584687-79ee-8066-a115-fbaff93873df.md,https://app.notion.com/p/bootoesa/3258468779ee8066a115fbaff93873df,대본/32584687-79ee-80ac-bc67-d54d98c301a3.md,대본/32584687-79ee-8024-9996-f432ec3ddd54.md;대본/32584687-79ee-8066-a115-fbaff93873df.md;대본/32c84687-79ee-802b-8b78-cf2da7c5c3c1.md;대본/32c84687-79ee-8056-9cbb-e89f961604e8.md,콘텐츠 관리 페이지의 유튜브 업로드 링크와 영상 ID 일치. 연결 작업에서 대본 본문 확보.
EPR-YT-003,BZqUUb_bGFs,출시하자마자 1억 4천만원 팔린 가방은 뭐가 다를까?,https://www.youtube.com/watch?v=BZqUUb_bGFs,영상링크 일치,가방분석 - 대본1차,대본/32084687-79ee-80db-8ac5-d65b8f5b7d36.md,https://app.notion.com/p/bootoesa/3208468779ee80db8ac5d65b8f5b7d36,대본/32084687-79ee-80f2-bf70-cfc3f4797df6.md,대본/32084687-79ee-80f3-8bd6-e0f55930936b.md;대본/32084687-79ee-80db-8ac5-d65b8f5b7d36.md;대본/32284687-79ee-8059-be3c-ca02b22c814e.md;대본/32284687-79ee-8074-a5ae-e331a99bc2bd.md;대본/32584687-79ee-813c-b9ec-cd1bdbfff589.md,콘텐츠 관리 페이지의 유튜브 업로드 링크와 영상 ID 일치. 연결 작업에서 대본 본문 확보.
EPR-YT-004,8LBsmECF9R4,"[사업자 필독영상] GPT 로 검색했을때 내 업체 나오게 하는 법 (GEO, SEO, AEO)",https://www.youtube.com/watch?v=8LBsmECF9R4,영상링크 일치,gpt 쇼핑 - 대본1차,대본/31284687-79ee-80b9-977d-c73f5acede18.md,https://app.notion.com/p/bootoesa/3128468779ee80b9977dc73f5acede18,대본/29384687-79ee-8052-856f-e3db92dc7117.md,대본/29384687-79ee-80de-b7e7-d19df02297d1.md;대본/31284687-79ee-80ce-b907-f331a8b5405c.md;대본/31284687-79ee-80b9-977d-c73f5acede18.md;대본/31b84687-79ee-80f0-a54c-cd2e3d9312b2.md;대본/31b84687-79ee-80b8-9fa9-e867e7da0251.md;대본/32284687-79ee-805a-9a39-f5bae4101e79.md,콘텐츠 관리 페이지의 유튜브 업로드 링크와 영상 ID 일치. 연결 작업에서 대본 본문 확보.
EPR-YT-005,kdMk15ZV_qY,자영업 몰락중인 업종 빨리 피하세요. 망해야만 보이는 것들,https://www.youtube.com/watch?v=kdMk15ZV_qY,영상링크 일치,몰락업종  - 대본1차,대본/31084687-79ee-8064-8dc2-c80a1cce2f0f.md,https://app.notion.com/p/bootoesa/3108468779ee80648dc2c80a1cce2f0f,대본/31084687-79ee-805f-abd4-e8d373601a0f.md,대본/31084687-79ee-80d0-bb63-e5e732bfe432.md;대본/31084687-79ee-804f-ac32-c67c3b02bd6d.md;대본/31084687-79ee-8064-8dc2-c80a1cce2f0f.md;대본/32284687-79ee-8073-abaa-e86965cb6e4a.md,콘텐츠 관리 페이지의 유튜브 업로드 링크와 영상 ID 일치. 연결 작업에서 대본 본문 확보.
EPR-YT-006,6kXVxJdxmLk,전문직도 어렵다는데...강남에 개업한 수의사의 현실은 어떨까?,https://www.youtube.com/watch?v=6kXVxJdxmLk,영상링크 일치·인터뷰자료,인터뷰_SNC원장님 - 질문,대본/2d884687-79ee-80d9-b0e2-d4d95950e302.md,https://app.notion.com/p/bootoesa/2d88468779ee80d9b0e2d4d95950e302,대본/2d884687-79ee-8038-ac5f-d3e3aebf9d45.md,대본/2d884687-79ee-800e-aed0-d0334c58fb35.md;대본/2d884687-79ee-80d9-b0e2-d4d95950e302.md;대본/2da84687-79ee-80a4-986b-ddd63384a0e8.md;대본/2e084687-79ee-8065-8e94-fcbe9c83de40.md;대본/2e084687-79ee-8052-b7e9-c45d8494c877.md;대본/31084687-79ee-8067-b9f6-df332b8d5407.md,콘텐츠 관리 페이지의 유튜브 업로드 링크와 영상 ID 일치. 질문지·후기·편집 메모 확보; 인터뷰 전체 발언록을 확보했다는 뜻은 아님.
EPR-YT-007,L7fsY1ZtPbg,"홈쇼핑부터 스마트스토어, 자사몰 브랜드 런칭으로 매출 300억때까지 과정",https://www.youtube.com/watch?v=L7fsY1ZtPbg,영상링크 일치·인터뷰자료,인터뷰_김진관대표님,대본/2ca84687-79ee-80ae-bc2b-da37cd3d5384.md,https://app.notion.com/p/bootoesa/2ca8468779ee80aebc2bda37cd3d5384,대본/2ca84687-79ee-8076-8a41-d895b393c230.md,대본/2ca84687-79ee-80e9-bf20-e18a9211fd7c.md;대본/2ca84687-79ee-80ae-bc2b-da37cd3d5384.md;대본/2cc84687-79ee-8031-8e21-d0d61f9fe4e4.md;대본/2da84687-79ee-808c-9924-d872da1d5af5.md;대본/2da84687-79ee-802b-bb6b-c61860031ec3.md;대본/2e084687-79ee-8068-a6d8-ee2d238044a4.md,콘텐츠 관리 페이지의 유튜브 업로드 링크와 영상 ID 일치. 질문지·후기·편집 메모 확보; 인터뷰 전체 발언록을 확보했다는 뜻은 아님.
EPR-YT-008,CszrYFMaozI,상권없는 지방에서 연매출 30억 + 건물 2채까지 과정,https://www.youtube.com/watch?v=CszrYFMaozI,영상링크 일치·인터뷰자료,인터뷰_신병철대표님(우정옥) - 편집피드백1차,대본/2cc84687-79ee-8076-a1e9-d06d0471ab15.md,https://app.notion.com/p/bootoesa/2cc8468779ee8076a1e9d06d0471ab15,대본/2cc84687-79ee-80a4-b080-c2834344ef22.md,대본/2cc84687-79ee-8001-b98f-f4d2c1f0b509.md;대본/2cc84687-79ee-804d-bdf3-d2de9a04e18c.md;대본/2cc84687-79ee-8076-a1e9-d06d0471ab15.md;대본/2e084687-79ee-807c-9b44-c80df8450c50.md,콘텐츠 관리 페이지의 유튜브 업로드 링크와 영상 ID 일치. 질문지·후기·편집 메모 확보; 인터뷰 전체 발언록을 확보했다는 뜻은 아님.
EPR-YT-009,6S2sNJaGI54,13평 매장에서 시작해 연매출 60억까지 10년간의 과정,https://www.youtube.com/watch?v=6S2sNJaGI54,영상링크 일치·인터뷰자료,인터뷰_김찬우대표님 - 편집 1차 (김유지),대본/2cc84687-79ee-80c0-a214-e9d316251409.md,https://app.notion.com/p/bootoesa/2cc8468779ee80c0a214e9d316251409,대본/2cc84687-79ee-8006-9189-e0a7bf6a4651.md,대본/2cc84687-79ee-805d-8e7d-d1190a9a8208.md;대본/2cc84687-79ee-80fa-b98e-da8d5dd09364.md;대본/2cc84687-79ee-80c0-a214-e9d316251409.md;대본/2cd84687-79ee-802f-85d8-e027ec5f47b6.md;대본/2cd84687-79ee-8008-8d4e-d82cb3199e72.md;대본/2d184687-79ee-804b-a1a8-f77d896fd162.md,콘텐츠 관리 페이지의 유튜브 업로드 링크와 영상 ID 일치. 질문지·후기·편집 메모 확보; 인터뷰 전체 발언록을 확보했다는 뜻은 아님.
EPR-YT-010,ytc4g_6d0xY,"(실제사례) 당장 다음달에 유튜브, 인스타로 매출 300% 올리는 천재적인 방법",https://www.youtube.com/watch?v=ytc4g_6d0xY,영상링크 일치,버터마케팅 - 대본1차,대본/2b584687-79ee-80f6-a703-cb684e7d454f.md,https://app.notion.com/p/bootoesa/2b58468779ee80f6a703cb684e7d454f,대본/2b584687-79ee-8007-891e-eaed00a1587f.md,대본/2b584687-79ee-80f1-918c-fd9a09301903.md;대본/2b584687-79ee-8069-84bc-debe5f57ff91.md;대본/2b584687-79ee-80f6-a703-cb684e7d454f.md;대본/2b684687-79ee-80cb-93e4-e9af3c37a053.md;대본/2b684687-79ee-8056-9465-d7ec4c32ea10.md;대본/2bd84687-79ee-8094-bbbd-f2fa8a421e5c.md,콘텐츠 관리 페이지의 유튜브 업로드 링크와 영상 ID 일치. 연결 작업에서 대본 본문 확보.
