id,title,type,source_file,line,scene,b2b,limits,card
EPR-NOTION-S01,마케팅을 늦게 배웠다고 느낀 이유,개인 경험·회고,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/1편 주는사란의 마케팅부업 입문기 4dd8468779ee82c3903101b575c2a16d.md,32,돈과 시간을 잃은 과거를 마케팅 판단의 부재로 돌아본다.,열심히 실행하기 전에 고객·입지·시기·예산을 판단해야 한다는 경험적 설명.,실패 전체의 원인이 마케팅 하나였다는 객관적 인과로 일반화하지 않는다.,노션스토리카드/EPR-NOTION-S01.md
EPR-NOTION-S02,안 나가는 상가에서 배달음식점으로 전환,직접 경험,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/1편 주는사란의 마케팅부업 입문기 4dd8468779ee82c3903101b575c2a16d.md,134,이자카야가 잘 안 되고 상가가 나가지 않아 배달음식점을 시작했다.,이미 들어간 비용과 현재 사업 조건을 구분해 선택을 검토하는 장면.,전환의 실제 조건을 유지하고 계획적인 성공 확장으로 바꾸지 않는다.,노션스토리카드/EPR-NOTION-S02.md
EPR-NOTION-S03,매출이 있어도 대표에게 남는 돈은 적었다,직접 경험,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/1편 주는사란의 마케팅부업 입문기 4dd8468779ee82c3903101b575c2a16d.md,142,배달비·수수료·포장비와 동업자 배분 때문에 남는 돈이 적었다.,대행을 맡을 때도 매출액만 보지 않고 비용과 실제 남는 이익을 함께 파악하는 이유.,통장 잔액·개인 몫·회사 순이익을 같은 수치로 취급하지 않는다.,노션스토리카드/EPR-NOTION-S03.md
EPR-NOTION-S04,새벽 족발 손질과 쪽방 생활,직접 경험,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/1편 주는사란의 마케팅부업 입문기 4dd8468779ee82c3903101b575c2a16d.md,138,"새벽 주문에 일어나 음식을 만들고, 생 돼지다리의 털을 태우던 노동을 회고한다.",대표의 노동시간을 늘리는 방식에 어떤 한계가 있었는지 보여주는 장면.,고생을 성공의 필수 조건으로 만들거나 현재 건강 상태를 추정하지 않는다.,노션스토리카드/EPR-NOTION-S04.md
EPR-NOTION-S05,부채와 리스료 때문에 다시 시작한 과외,직접 경험,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/1편 주는사란의 마케팅부업 입문기 4dd8468779ee82c3903101b575c2a16d.md,162,매달 나가는 돈 때문에 기존 학원 경력으로 과외를 다시 시작했다.,고객의 현재 현금 흐름과 가용한 역량을 파악하는 개인 배경.,나이·부채 발생 순서가 다른 문서와 다르므로 한 연표로 확정하지 않는다.,노션스토리카드/EPR-NOTION-S05.md
EPR-NOTION-S06,"전단지 1,000장에 문의 한 명",직접 경험,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/1편 주는사란의 마케팅부업 입문기 4dd8468779ee82c3903101b575c2a16d.md,168,직접 전단지를 돌리던 방식과 당시 문의량을 설명한다.,노출량 자체보다 실제 고객에게 닿는 비율을 보게 된 출발점.,과거 본인 사례이며 모든 전단지의 평균 전환율이 아니다.,노션스토리카드/EPR-NOTION-S06.md
EPR-NOTION-S07,학부모가 모인 곳에서 공부 이야기를 나눴다,직접 경험,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/1편 주는사란의 마케팅부업 입문기 4dd8468779ee82c3903101b575c2a16d.md,180,지역 맘카페에서 공부법과 교육 경험을 글·댓글로 전달했다.,잠재고객의 고민을 이해하고 그들에게 필요한 말을 하는 경험.,"방문 2,399회·댓글 226개는 해당 기록의 수치이며 필수 달성량이 아니다.",노션스토리카드/EPR-NOTION-S07.md
EPR-NOTION-S08,카페에서 쓴 내용을 블로그로 옮겼다,직접 경험,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/리즈 코치 소개 영상 대본 3dc8468779ee81e1ae8ef476a34a4f09.md,99,카페에서 강퇴된 뒤 기존 댓글을 블로그로 옮긴 과정을 설명한다.,외부 채널에 의존하는 위험과 쌓인 내용을 재활용하는 관점.,입문서 1편의 자연스러운 확장 서술과 차이가 있어 상황·순서는 확인한다.,노션스토리카드/EPR-NOTION-S08.md
EPR-NOTION-S09,자기 학원 경험을 다른 교습소 대행으로 확장,고객사 대행 경험,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/2편 마케팅부업 소개 8258468779ee8389a17f81aa82538399.md,69,"학생 두 명인 다른 지역 교습소의 마케팅을 맡고 3개월 뒤 월 1,500만 원, 대행료 20%라고 기록했다.",자기 사업에서 익힌 고객 이해를 다른 사업에 적용하는 장면.,고객사 매출과 본인 대행료를 구분하고 블로그만의 인과는 저자의 당시 해석으로 둔다.,노션스토리카드/EPR-NOTION-S09.md
EPR-NOTION-S10,변호사 사무실에 손편지를 보냈다,직접 경험,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/3편 마케팅부업 3단계 테크트리 3cb8468779ee829eb54a016a85c71de3.md,61,법원 앞 건물 세 곳의 사무실에 제안 편지를 보내 두 변호사의 연락을 받았다.,대행사가 무엇을 해줄 수 있는지 구체적으로 제안한 초기 영업 경험.,현재 추천 방식으로 강조하지 않는다. 원문도 더 나은 방법을 몰라 했다고 말한다.,노션스토리카드/EPR-NOTION-S10.md
EPR-NOTION-S11,맡을 고객사의 차별점을 보고 선택했다,대행 판단·결과 기록,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/3편 마케팅부업 3단계 테크트리 3cb8468779ee829eb54a016a85c71de3.md,81,두 변호사 중 한 명의 지역 내 차별점을 보고 함께 일하기로 판단했다.,고객사를 선택하고 소비자의 선택 이유를 찾는 판단 과정.,성별만 있으면 성과가 난다는 일반화나 모든 업종에 적용되는 법칙으로 쓰지 않는다.,노션스토리카드/EPR-NOTION-S11.md
EPR-NOTION-S12,글을 쓰기 위해 고객 상담에 들어갔다,직접 경험,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/3편 마케팅부업 3단계 테크트리 3cb8468779ee829eb54a016a85c71de3.md,105,고객이 어떤 고민으로 찾아오는지 알기 위해 사무장으로 등록하고 상담에 함께했다.,대행사가 자료만 받아 쓰는 데서 그치지 않고 고객의 실제 질문을 관찰한 경험.,현재의 법률 업무 수행 기준에 대한 안내로 전용하지 않는다.,노션스토리카드/EPR-NOTION-S12.md
EPR-NOTION-S13,블로그를 읽고 찾아온 큰 회사 대표,직접 경험,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/3편 마케팅부업 3단계 테크트리 3cb8468779ee829eb54a016a85c71de3.md,115,법률 의뢰보다 누가 왜 글을 썼는지 질문하던 방문자가 회사 대표였다.,기획과 설명 자체가 대행사의 역량을 보여주어 다음 고객 접점으로 이어진 이야기.,"회사 매출 6,000억은 고객사 규모이지 이세란의 매출·대행 성과가 아니다.",노션스토리카드/EPR-NOTION-S13.md
EPR-NOTION-S14,이상하게 여겼던 제안이 대행 기회로 이어졌다,직접 경험,노션원문/개인 페이지 & 공유된 페이지/마케팅부업입문서/3편 마케팅부업 3단계 테크트리 3cb8468779ee829eb54a016a85c71de3.md,133,처음에는 식사 제안을 의심했으나 만남에서 회사와 블로그에 관심을 가진 이유를 알았다.,기획의 의도와 고객의 선택 이유를 직접 대화에서 확인한 장면.,선물이나 식사를 수주 공식으로 만들지 않는다.,노션스토리카드/EPR-NOTION-S14.md
