No,챕터,강의번호,시트강의명,학습목표_제안,통합개념,근거ID,결과물_제안,확인사항,시트비고,시트행,BPT대응상태
1,CH00. 강의 목표,0-1,이 강의의 약속 — 매출 강의가 아니라 영업이익 강의,마케팅 실행이 영업이익과 회사 자산으로 연결되는 전체 지도를 이해한다.,K01;K04;K05,S01;M01;M03;Q003;G015;M02;Q009;S02;S04;G006;G012,강의 전후 목표 한 장,초안 가능,,6,미배정
2,CH00. 강의 목표,0-2,사장이 첫 번째 마케터다,직접 제작할 일과 대표가 결정해야 할 고객·상품·숫자를 구분한다.,K01;K22,S01;M01;M03;Q003;G015;M02;G004;G011;Q008,대표 판단·실행 역할표,초안 가능,,7,미배정
3,CH00. 강의 목표,0-3,한국 온라인 마케팅 20년 압축사,수단의 변화와 지속되는 고객·제안·측정의 원리를 구분한다.,K18;K05,M02;S02;G005;S04;G006;G012;G015,마케팅 변화 연표,한국 20년 연표의 직접 근거 부족,,8,미배정
4,CH00. 강의 목표,0-4,마케팅적으로 생각하기,만드는 사람의 관점에서 고객이 선택하는 이유를 묻는 관점으로 이동한다.,K02;K03;K25,M01;S01;S02;Q005;Q011;S03;G003;G009;G018;G019;Q004;Q010,기존 판단·새 질문 비교표,초안 가능,,9,미배정
5,CH00. 강의 목표,0-5,강의 이용 방법,영상 시청을 회사의 결정·실행·기록으로 연결한다.,K25;K24,G009;G018;G019;Q004;Q010;M02;M03;Q002;G014;G015,수강·실행·질문 방식,우리 과정 운영 방식은 별도 확정,,10,미배정
6,CH00. 강의 목표,0-6,회사 유형·규모 진단,규모·역할·채널 의존을 확인하고 자기 회사의 출발점을 정한다.,K06;K22,S01;Q011;M02;G004;G011;Q003;Q008,회사 상태 진단표,우리 진단 유형은 기획 문서 적용안,,11,미배정
7,CH00. 강의 목표,0-7,단리·복리 계산,일회성 지출과 남는 자산을 구분하되 실제 손익으로 비교한다.,K04;K05,M02;M03;Q009;S02;S04;G006;G012;G015,현재 비용·자산 기준선,광고 중단 매출만으로 인과·비율 단정 금지,,12,미배정
8,CH01. 지금 내 회사의 가치는 얼마인가? (자가진단),1-1,내 회사 퍼널 그려보기,현재 고객이 어디에서 와서 어떤 과정을 거쳐 구매하는지 그린다.,K06;K12,S01;Q011;M02;S02;S03,현재 퍼널 한 장,초안 가능,,14,미배정
9,CH01. 지금 내 회사의 가치는 얼마인가? (자가진단),1-2,현재 데이터 입력하기,측정된 숫자와 모르는 숫자를 분리해 기준선을 만든다.,K04;K09,M02;M03;Q009;S02;S04,기준선 데이터 시트,필드·계산식은 우리 설계,,15,미배정
10,CH01. 지금 내 회사의 가치는 얼마인가? (자가진단),1-3,회사에 남은 마케팅 자산 확인하기,고객·콘텐츠·데이터·매뉴얼의 보유와 접근 가능성을 확인한다.,K05;K22,S02;S04;G006;G012;G015;M02;G004;G011;Q003;Q008,자산 보유 점검표,초안 가능,,16,미배정
