강의번호,시트제목,촬영담당,강의역할,필수내용1,필수내용2,필수내용3,범위,결과물,직원추가자료,원천ID,BPT상태
0-1,이 강의의 약속 — 매출 강의가 아니라 영업이익 강의,권기동,마케팅 실행이 영업이익과 회사 자산으로 연결되는 전체 지도를 이해한다.,매출이 같아도 제공 원가와 마케팅 비용이 다르면 회사에 남는 이익은 달라진다.,이 과정에서는 유입·구매·후속 구매와 운영을 연결해 이익을 판단하고 개선하는 방법을 배운다.,연락 가능한 고객·콘텐츠·실행 기록·매뉴얼이 쌓이는지를 함께 본다.,"손익 계산 실습은 1-4, 개별 채널 집행은 CH09로 넘긴다.",강의 전후 목표 한 장,"강사가 약속할 수 있는 교육 결과, 실제 전후 사례와 숫자",M03 S02 Q003,미확정
0-2,사장이 첫 번째 마케터다,권기동,직접 제작할 일과 대표가 결정해야 할 고객·상품·숫자를 구분한다.,대표는 누구에게 어떤 가치를 팔고 얼마까지 써도 되는지 판단할 기준을 가져야 한다.,제작과 집행을 맡겨도 목표·평가 기준이 없으면 실행의 옳고 그름을 판단하기 어렵다.,대표가 정할 일과 직원·외주가 반복 실행할 일을 구분한다.,채용·위임의 구체적 방법은 CH10에서 다룬다.,대표 판단·실행 역할표,대표와 직원의 실제 업무 분담 사례,G004 G011 M02,미확정
0-3,한국 온라인 마케팅 20년 압축사,이세란,수단의 변화와 지속되는 고객·제안·측정의 원리를 구분한다.,시대별 채널을 나열하기보다 고객의 발견·비교·구매 경로가 어떻게 변했는지 설명한다.,접점이 바뀔 때 기존의 성과가 그대로 이어지지 않는 이유를 플랫폼 의존과 연결한다.,수단 변화와 별개로 고객·제안·측정·고객 관계를 이해해야 한다는 과제까지 정리한다.,한국 20년 연표는 현재 네 자료만으로 확정하지 않는다. 도구 사용법은 제외한다.,마케팅 변화 연표,연도별 검증 가능한 사건·플랫폼 자료와 강사의 당시 경험,S02 G012,미확정
0-4,마케팅적으로 생각하기,이세란,만드는 사람의 관점에서 고객이 선택하는 이유를 묻는 관점으로 이동한다.,판매자가 강조하는 특징과 구매자가 해결하고 싶은 문제를 구분한다.,고객·경쟁 대안·구매 상황을 함께 봐야 선택 이유를 판단할 수 있다.,아이디어를 확신으로 다루지 않고 고객 반응으로 확인할 가설로 바꾼다.,완성된 USP와 상품 구성은 CH02에서 만든다.,기존 판단·새 질문 비교표,자기중심적 설명을 고객 관점으로 바꾼 실제 상품 예시,M01 S03 Q011,미확정
0-5,강의 이용 방법,이세란,영상 시청을 회사의 결정·실행·기록으로 연결한다.,강의를 보는 순서와 회사에 적용하는 순서를 구분하고 전체 과정의 지도를 안내한다.,강의마다 판단 또는 결과물을 남기고 다음 강의에서 이어서 사용한다.,업종과 자원이 다른 사례는 조건을 비교한 뒤 적용하며 막힌 질문을 기록한다.,운영 시간·과제 제출·피드백 방식은 사용자가 제공한 실제 운영안만 반영한다.,수강·실행·질문 방식,"수강 운영 규정, 워크시트, 질문·피드백 방식",G009 Q004 Q010,미확정
0-6,회사 유형·규모 진단,권기동,규모·역할·채널 의존을 확인하고 자기 회사의 출발점을 정한다.,업종 이름뿐 아니라 구매 주기·객단가·제공 방식·채널 의존·인력으로 회사를 구분한다.,같은 매출 규모라도 자원과 병목이 다르면 먼저 할 일이 달라진다.,자기 회사의 현재 조건과 아직 모르는 정보를 진단표에 적는다.,세부 퍼널 병목 선정은 1-5로 넘기며 임의의 매출 구간을 보편 법칙으로 쓰지 않는다.,회사 상태 진단표,진단 항목 정의와 업종별 실제 회사 예시,Q003 G014 Q007,미확정
0-7,단리·복리 계산,이세란,일회성 지출과 남는 자산을 구분하되 실제 손익으로 비교한다.,한 번 쓰고 끝나는 지출과 다음 접촉·구매·실행에 재사용할 자산을 남기는 지출을 비교한다.,자산은 유지·갱신 비용과 소멸 가능성도 있으므로 누적만으로 수익이 보장되지 않는다.,같은 기간과 비용 조건을 둔 가상 계산으로 반복 사용 여부의 차이를 살핀다.,금융 복리 공식을 마케팅 수익의 보장식으로 사용하지 않는다. 회사별 시나리오는 1-6에서 작성한다.,현재 비용·자산 기준선,"계산표 변수·가정, 재사용되는 콘텐츠나 고객 목록 사례",S02 S04 M03,미확정
1-1,내 회사 퍼널 그려보기,이세란,현재 고객이 어디에서 와서 어떤 과정을 거쳐 구매하는지 그린다.,고객이 회사를 발견하고 문의·구매·후속 구매로 이동하는 실제 경로를 그린다.,각 접점에서 고객에게 요구하는 행동과 다음 이동 경로를 표시한다.,그림에 없는 단계와 실제로 연결되지 않는 단계를 분리해 기록한다.,채널을 새로 고르거나 홈페이지를 제작하지 않고 현재 경로를 그리는 데 집중한다.,현재 퍼널 한 장,실제 사이트·매장·문의·결제 경로 화면,S01 S02,미확정
1-2,현재 데이터 입력하기,이세란,측정된 숫자와 모르는 숫자를 분리해 기준선을 만든다.,퍼널의 단계마다 무엇을 한 건으로 셀지와 측정 기간을 정한다.,조회·방문·문의·구매를 같은 숫자로 취급하지 않고 서로 다른 분모를 구분한다.,실제값·추정값·미측정값을 구별해 현재 데이터를 입력한다.,"대시보드 구현은 11-2, 세부 채널 측정은 해당 챕터에서 다룬다.",기준선 데이터 시트,"실제 리포트, 항목 정의, 입력용 시트",S01 M02,미확정
1-3,회사에 남은 마케팅 자산 확인하기,권기동,고객·콘텐츠·데이터·매뉴얼의 보유와 접근 가능성을 확인한다.,고객 목록·콘텐츠·계정·소재 원본·학습 기록·매뉴얼을 목록화한다.,존재 여부와 회사가 접근·재사용할 수 있는지를 구분한다.,현재 퍼널의 어떤 단계를 돕는지 연결해 활용되지 않는 자산과 의존 지점을 찾는다.,자산의 금전적 가치나 회사 매각 가격을 계산하지 않는다.,자산 보유 점검표,회사 계정·파일·DB·권한 목록 예시,S02 G012 G015,미확정
