원천ID,게시글ID,제목,작성일,작성자,자료성격,키워드,B2B활용메모,원문URL,원문파일,스토리카드,본문문단수,이미지참조수,삽입게시물수,상태
EPR-CAFE-33779,33779,마감 - 블로그 마케팅 부업 마지막 오프라인 강의 안내,2026-04-29,주는사란,운영 경험·강의 공지,대행가치·기획·실행,블로그 실행을 넘어 고객의 문제 발견·기획을 서비스로 제공하려는 전환. 수의원 고객 흐름 등 원문의 설계 예시와 향후 강의 계획을 실제 성과와 구분한다.,https://cafe.naver.com/ranschool/33779,카페원문/33779.md,스토리카드/33779.md,89,11,0,카페 HTML·텍스트 보관
EPR-CAFE-33606,33606,[수강생질문답변] 수정 요청 많이 하는 클라이언트 어떻게 할까요?,2026-01-18,주는사란,수강생 질문·본인 경험,고객응대·수정·기대관리,순위 보장과 글 개수 납품 기대가 수정 요구에 미치는 영향. 대행사의 역할과 작성 이유를 계약 전후에 설명하는 장면에 활용한다.,https://cafe.naver.com/ranschool/33606,카페원문/33606.md,스토리카드/33606.md,40,4,0,카페 HTML·텍스트 보관
EPR-CAFE-33602,33602,마케팅 효과 보는 업종 판별법,2026-01-14,주는사란,대행 경험·인터뷰,업종진단·구매관여도·CRM,학원 블로그 경험에서 적합 업종을 확장한 이야기. 매체부터 정하기 전에 구매 과정과 업종 조건을 진단하는 논리로 활용한다. 인터뷰 회사 매출은 본인 매출이 아니다.,https://cafe.naver.com/ranschool/33602,카페원문/33602.md,스토리카드/33602.md,39,1,1,카페 HTML 보관; 외부 삽입물은 메타데이터 기준
EPR-CAFE-33590,33590,(2탄) 요즘 매출은 결국 여기서 나온다.,2026-01-10,주는사란,타인 인터뷰·해석,온라인오프라인·후기·유통,축산업체 인터뷰에서 오프라인 경험과 온라인 판매의 연결을 검토한다. 인터뷰 수치는 그 회사의 당시 진술이며 이세란의 대행 성과로 바꾸지 않는다.,https://cafe.naver.com/ranschool/33590,카페원문/33590.md,스토리카드/33590.md,48,0,1,카페 HTML 보관; 외부 삽입물은 메타데이터 기준
EPR-CAFE-33579,33579,(1탄) 10평매장에서 연매출 60억 프랜차이즈 본사 대표님 인터뷰,2026-01-05,주는사란,타인 인터뷰·대행 경험,브랜딩·업종차이·콘텐츠,음식점의 시각적 차별화와 보청기처럼 다른 업종의 콘텐츠 조건을 비교할 때 참고한다. 제목의 매출은 인터뷰 대상 회사의 수치다.,https://cafe.naver.com/ranschool/33579,카페원문/33579.md,스토리카드/33579.md,45,4,3,카페 HTML 보관; 외부 삽입물은 메타데이터 기준
EPR-CAFE-33523,33523,마케팅을 잠깐만 쉬면 안되나요?,2025-11-28,주는사란,직접 경험,수용능력·지속마케팅·문의,학원 정원이 찼을 때 마케팅 중단을 요청받은 일과 본인 대행 업무가 몰려 마케팅을 쉰 일을 연결한다. 문의 확보와 실제 감당 가능한 운영량을 함께 판단하는 사례다.,https://cafe.naver.com/ranschool/33523,카페원문/33523.md,스토리카드/33523.md,20,6,0,카페 HTML·텍스트 보관
EPR-CAFE-33482,33482,"성향이 안맞는 고객, 극복 VS 포기",2025-10-27,주는사란,직접 경험·고민 중,의사결정자·업무범위·고객적합성,포트폴리오를 보고 의뢰한 사람과 실제 운영자의 기대가 다른 상황. 실행 권한과 역할을 맞추는 문제이며 계약 포기 여부는 미확정이다.,https://cafe.naver.com/ranschool/33482,카페원문/33482.md,스토리카드/33482.md,15,4,0,카페 HTML·텍스트 보관
EPR-CAFE-33476,33476,마케팅대행료 1억 놓친 후기,2025-10-24,주는사란,직접 경험·고민 중,고액계약·실행권한·책임,큰 계약에서 실행 자유와 결과 책임이 어긋난 고민. 제목만으로 계약 상실을 확정하지 않고 당시 진행 상태를 유지한다.,https://cafe.naver.com/ranschool/33476,카페원문/33476.md,스토리카드/33476.md,26,3,0,카페 HTML·텍스트 보관
EPR-CAFE-33419,33419,⭐️⭐️너무 중요⭐️⭐️2026년 마케팅 수익화 변화 예측,2025-09-29,주는사란,예측·의견,AI·매체변화·대행전략,당시 예상한 2026년 변화와 준비 방향을 보관한다. 지금 확인된 시장 사실이나 성과의 증거로 쓰려면 별도 검증한다.,https://cafe.naver.com/ranschool/33419,카페원문/33419.md,스토리카드/33419.md,47,11,0,카페 HTML·텍스트 보관
EPR-CAFE-33407,33407,실버타운 마케팅 설계도 그리기,2025-09-23,주는사란,고객사 미팅·설계안,고관여·잠재고객·출시전마케팅,실버타운 오픈 전 관심 고객을 모으고 유지하는 설계. 일정과 아이디어는 당시 계획이며 실행 후 성과로 바꾸지 않는다.,https://cafe.naver.com/ranschool/33407,카페원문/33407.md,스토리카드/33407.md,26,2,0,카페 HTML·텍스트 보관
EPR-CAFE-33397,33397,마케팅대행고객 규모별 응대법,2025-09-22,주는사란,특강 정리,고객규모·진단·응대,고객사 규모에 따라 필요한 설명과 문제 진단이 달라지는 관점. AI로 정리된 기록임을 유지하고 링크 미리보기 속 화자를 혼동하지 않는다.,https://cafe.naver.com/ranschool/33397,카페원문/33397.md,스토리카드/33397.md,89,3,1,카페 HTML 보관; 외부 삽입물은 메타데이터 기준
EPR-CAFE-33377,33377,가장 힘든 마케팅 클라이언트?,2025-09-18,주는사란,직접 경험·고민,고객신념·전략합의,자기 업종을 잘 아는 고객과 마케팅 판단이 다를 때의 어려움. 합의가 끝난 성공 사례로 꾸미지 않는다.,https://cafe.naver.com/ranschool/33377,카페원문/33377.md,스토리카드/33377.md,18,0,0,카페 HTML·텍스트 보관
EPR-CAFE-33375,33375,프랜차이즈 본사와의 마케팅 미팅 뒷 이야기,2025-09-17,주는사란,고객사 미팅,상품기획·프랜차이즈·진단,신메뉴를 홍보하는 방법에 앞서 무엇이 팔릴지 의논한 장면. 대행사가 판매 대상과 고객 문제까지 확인하는 이유에 활용한다.,https://cafe.naver.com/ranschool/33375,카페원문/33375.md,스토리카드/33375.md,28,0,0,카페 HTML·텍스트 보관
EPR-CAFE-33371,33371,분기별모임 특강 + 요즘 수익화 고민,2025-09-16,주는사란,특강 경험·운영 고민,AI·인력·수행능력,기업 대표 대상 특강과 늘어난 수요를 처리할 실행 인력에 대한 고민. 고객 확보와 조직의 수행 능력을 함께 보는 자료다.,https://cafe.naver.com/ranschool/33371,카페원문/33371.md,스토리카드/33371.md,23,6,0,카페 HTML·텍스트 보관
EPR-CAFE-33039,33039,분기별모임 특강 내용 안내,2025-07-01,주는사란,특강 안내·방법론,사례축적·보고·재현조건,블로그나 인스타 상품명보다 어떤 조건에서 효과가 났는지 설명하는 관점. 조회수 증가와 고객사 매출 증가는 구분한다.,https://cafe.naver.com/ranschool/33039,카페원문/33039.md,스토리카드/33039.md,24,8,0,카페 HTML·텍스트 보관
EPR-CAFE-32665,32665,클라이언트 사로 잡는 법 (대행 오래 유지하는 법),2025-04-22,주는사란,대행 방법론,고객유지·보고·신뢰,결과 링크만 보내는 대신 진행 과정과 판단 이유를 전달하는 방식. 고객이 대행 업무의 가치를 이해하도록 보고하는 논리다.,https://cafe.naver.com/ranschool/32665,카페원문/32665.md,스토리카드/32665.md,72,12,0,카페 HTML·텍스트 보관
EPR-CAFE-32578,32578,듣고 싶은 이야기 투표해주세요!,2025-04-11,주는사란,운영 근황·설문,고객적합성·콘텐츠기획,여러 계약 이후에도 새 고객마다 어려움이 있다는 근황과 주제 투표. 투표 선택지를 이미 해결한 사건으로 만들지 않는다.,https://cafe.naver.com/ranschool/32578,카페원문/32578.md,스토리카드/32578.md,17,4,0,카페 HTML·텍스트 보관
EPR-CAFE-32460,32460,진짜 문의가 올까? 의심이 된다면,2025-03-26,주는사란,수강생 사례·본인 경험,문의·콘텐츠축적·수용능력,수강생의 문의 사례와 본인 문의량 조절 경험을 분리한다. 글 개수나 경과 일수를 모든 고객의 성과 조건으로 일반화하지 않는다.,https://cafe.naver.com/ranschool/32460,카페원문/32460.md,스토리카드/32460.md,21,15,0,카페 HTML·텍스트 보관
EPR-CAFE-32429,32429,수익화 하는데까지 얼마나 걸리나요? 에 대한 진짜 대답,2025-03-22,주는사란,직접 경험·의견,팀·가치관·성장기간,돈이 벌리는 시점만 묻는 질문과 함께 일하는 사람의 가치관에 대한 생각. 계약 성과보다 조직 운영의 판단 자료로 활용한다.,https://cafe.naver.com/ranschool/32429,카페원문/32429.md,스토리카드/32429.md,27,1,1,카페 HTML 보관; 외부 삽입물은 메타데이터 기준
EPR-CAFE-32350,32350,마케팅대행 잘 못하는 사람 특징,2025-03-16,주는사란,대행 경험·의견,설명·자신감·성과대기,효과가 바로 보이지 않을 때도 전략과 피드백을 설명하는 대행사의 태도. 본인이 제시한 문의·계약 수치는 당시 기록으로 한정한다.,https://cafe.naver.com/ranschool/32350,카페원문/32350.md,스토리카드/32350.md,37,13,0,카페 HTML·텍스트 보관
EPR-CAFE-32333,32333,2020년에 쓴 블로그로 문의가 왔어요.,2025-03-13,주는사란,직접 경험,콘텐츠자산·장기문의,2020년 작성한 블로그에서 뒤늦게 문의가 온 장면. 콘텐츠가 남아 고객 접점을 만드는 경험으로 활용하되 영구 성과를 보장하지 않는다.,https://cafe.naver.com/ranschool/32333,카페원문/32333.md,스토리카드/32333.md,11,7,1,카페 HTML 보관; 외부 삽입물은 메타데이터 기준
EPR-CAFE-32315,32315,수익화 파이프라인을 만드는데 걸린 기간,2025-03-12,주는사란,직접 경험,퍼널·유튜브·홈페이지,새 채널과 사이트·모임을 연결해 문의 경로를 만든 기간. 본인의 실행 순서와 기간이며 누구나 같은 기간에 되는 공식이 아니다.,https://cafe.naver.com/ranschool/32315,카페원문/32315.md,스토리카드/32315.md,43,15,1,카페 HTML 보관; 외부 삽입물은 메타데이터 기준
EPR-CAFE-32213,32213,아이고 일복이 터졌네.... 또또또 왔다.,2025-03-04,주는사란,운영 근황·화면 기록,문의·상담·업무량,들어온 문의와 진단·견적 미팅의 짧은 근황. 세부 조건은 첨부 화면을 확인한 뒤 사용한다.,https://cafe.naver.com/ranschool/32213,카페원문/32213.md,스토리카드/32213.md,5,4,0,카페 HTML·텍스트 보관
EPR-CAFE-32184,32184,한번 마케팅엔진을 만들어놓으면 생기는 자동화,2025-03-03,주는사란,운영 근황·화면 기록,문의·마케팅흐름,구축한 경로에서 추가 문의가 들어왔다는 기록. 자동화라는 표현을 무노동·확정 수익으로 확장하지 않는다.,https://cafe.naver.com/ranschool/32184,카페원문/32184.md,스토리카드/32184.md,7,3,0,카페 HTML·텍스트 보관
EPR-CAFE-32179,32179,2024.11.18에 발행한 글 1개로 월 60만원씩 벌게된 방법 (상위노출 X),2025-03-03,주는사란,수강생 사례,콘텐츠·문의전환·계약,과거 글에서 발생한 수강생 계약 사례. 입금된 계약과 진행 중 건을 구분하고 본인 대행 실적으로 바꾸지 않는다.,https://cafe.naver.com/ranschool/32179,카페원문/32179.md,스토리카드/32179.md,17,15,0,카페 HTML·텍스트 보관
EPR-CAFE-32034,32034,16번째문의,2025-02-25,주는사란,문의 기록,문의·응대,16번째 문의로 남긴 짧은 글과 화면 자료. 문의 수를 계약 수나 매출로 바꾸지 않는다.,https://cafe.naver.com/ranschool/32034,카페원문/32034.md,스토리카드/32034.md,3,1,0,카페 HTML·텍스트 보관
EPR-CAFE-31955,31955,"14.,15번째 문의",2025-02-20,주는사란,문의 기록,문의·견적·계약진행,14·15번째 문의와 계약 준비의 진행 기록. 제안 금액·예상 금액과 확정 매출을 구분한다.,https://cafe.naver.com/ranschool/31955,카페원문/31955.md,스토리카드/31955.md,9,2,0,카페 HTML·텍스트 보관
EPR-CAFE-31827,31827,"12,13번째 문의...또 왔다.",2025-02-12,주는사란,문의 기록,문의·인력·수행능력,12·13번째 문의와 늘어난 업무를 처리할 팀에 대한 고민. 유입 증가 뒤 운영 병목을 설명할 때 참고한다.,https://cafe.naver.com/ranschool/31827,카페원문/31827.md,스토리카드/31827.md,3,2,0,카페 HTML·텍스트 보관
EPR-CAFE-31712,31712,"8,9,10,11번째 문의",2025-02-04,주는사란,문의 기록,퍼널·문의·계약,초기 몇 달과 이후 주간 문의 흐름을 남긴 자료. 기간별 문의와 계약 수를 섞어 계산하지 않는다.,https://cafe.naver.com/ranschool/31712,카페원문/31712.md,스토리카드/31712.md,12,6,0,카페 HTML·텍스트 보관
EPR-CAFE-31246,31246,올해 부퇴사는 이렇게 됩니다💕,2025-01-01,주는사란,운영 계획,커뮤니티·교육운영,당시 부퇴사 운영 방향과 계획. 실행이 완료된 사업 성과로 사용하지 않는다.,https://cafe.naver.com/ranschool/31246,카페원문/31246.md,스토리카드/31246.md,17,7,0,카페 HTML·텍스트 보관
EPR-CAFE-30632,30632,2년만에 처음으로 가는 주는사란 mt 준비중,2024-12-04,주는사란,직접 경험·행사 준비,팀·관계·커뮤니티,첫 MT 준비와 관계 형성의 기록. 고객 매출 사례보다 공동체 운영의 배경으로 활용한다.,https://cafe.naver.com/ranschool/30632,카페원문/30632.md,스토리카드/30632.md,16,11,0,카페 HTML·텍스트 보관
